Configuration	429IIT6
STM32CubeMX 	4.25.0
Date	03/30/2018
MCU	STM32F429IITx



PERIPHERALS	MODES	FUNCTIONS	PINS
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A11	PG1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A12	PG2
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A13	PG3
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A14	PG4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A15	PG5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A16	PD11
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A17	PD12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A18	PD13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A19	PE3
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	21 bits	FMC_A20	PE4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D0	PD14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D1	PD15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D2	PD0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D3	PD1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D4	PE7
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D5	PE8
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D6	PE9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D7	PE10
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D8	PE11
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D9	PE12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D10	PE13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D11	PE14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D12	PE15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D13	PD8
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D14	PD9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 1	16 bits	FMC_D15	PD10
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	NE2	FMC_NE2	PG9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	NOR Flash	FMC_NOE	PD4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	NOR Flash	FMC_NWE	PD5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A0	PF0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A1	PF1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A2	PF2
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A3	PF3
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A4	PF4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A5	PF5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A6	PF12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A7	PF13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A8	PF14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A9	PF15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A10	PG0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A11	PG1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A12	PG2
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A13	PG3
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A14	PG4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A15	PG5
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A16	PD11
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A17	PD12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A18	PD13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A19	PE3
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	21 bits	FMC_A20	PE4
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D0	PD14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D1	PD15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D2	PD0
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D3	PD1
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D4	PE7
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D5	PE8
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D6	PE9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D7	PE10
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D8	PE11
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D9	PE12
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D10	PE13
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D11	PE14
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D12	PE15
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D13	PD8
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D14	PD9
FMC:NOR Flash/PSRAM/SRAM/ROM/LCD 2	16 bits	FMC_D15	PD10
LTDC	RGB666 (18 bits)	LTDC_R2	PH8
LTDC	RGB666 (18 bits)	LTDC_R3	PB0
LTDC	RGB666 (18 bits)	LTDC_R4	PH10
LTDC	RGB666 (18 bits)	LTDC_R5	PH11
LTDC	RGB666 (18 bits)	LTDC_R6	PH12
LTDC	RGB666 (18 bits)	LTDC_R7	PG6
LTDC	RGB666 (18 bits)	LTDC_G2	PA6
LTDC	RGB666 (18 bits)	LTDC_G3	PH14
LTDC	RGB666 (18 bits)	LTDC_G4	PB10
LTDC	RGB666 (18 bits)	LTDC_G5	PI0
LTDC	RGB666 (18 bits)	LTDC_G6	PC7
LTDC	RGB666 (18 bits)	LTDC_G7	PD3
LTDC	RGB666 (18 bits)	LTDC_B2	PD6
LTDC	RGB666 (18 bits)	LTDC_B3	PG11
LTDC	RGB666 (18 bits)	LTDC_B4	PG12
LTDC	RGB666 (18 bits)	LTDC_B5	PA3
LTDC	RGB666 (18 bits)	LTDC_B6	PI6
LTDC	RGB666 (18 bits)	LTDC_B7	PB9
LTDC	RGB666 (18 bits)	LTDC_HSYNC	PC6
LTDC	RGB666 (18 bits)	LTDC_VSYNC	PI9
LTDC	RGB666 (18 bits)	LTDC_CLK	PG7
LTDC	RGB666 (18 bits)	LTDC_DE	PF10
RCC	BYPASS Clock Source	RCC_OSC_IN	PH0/OSC_IN
RCC	BYPASS Clock Source	RCC_OSC_OUT	PH1/OSC_OUT
RCC	BYPASS Clock Source	RCC_OSC32_IN	PC14/OSC32_IN
RCC	BYPASS Clock Source	RCC_OSC32_OUT	PC15/OSC32_OUT
SYS	SysTick	SYS_VS_Systick	VP_SYS_VS_Systick
TIM14	Enable_Timer	TIM14_VS_ClockSourceINT	VP_TIM14_VS_ClockSourceINT
USB_OTG_FS	Host_Only	USB_OTG_FS_DM	PA11
USB_OTG_FS	Host_Only	USB_OTG_FS_DP	PA12
USB_OTG_FS	Activate VBUS	USB_OTG_FS_VBUS	PA9
USB_OTG_HS	Host_Only	USB_OTG_HS_DM	PB14
USB_OTG_HS	Host_Only	USB_OTG_HS_DP	PB15
USB_OTG_HS	Activate-VBUS	USB_OTG_HS_VBUS	PB13



Pin Nb	PINs	FUNCTIONs	LABELs
1	PE2*	SPI4_SCK	
2	PE3	FMC_A19	
3	PE4	FMC_A20	
4	PE5	GPIO_Output	SPI4_CS1
5	PE6*	SPI4_MOSI	
7	PI8	GPIO_Output	SPI4_CS2
9	PC14/OSC32_IN	RCC_OSC32_IN	
10	PC15/OSC32_OUT	RCC_OSC32_OUT	
11	PI9	LTDC_VSYNC	
12	PI10	ETH_RX_ER	
13	PI11	GPIO_Output	
16	PF0	FMC_A0	
17	PF1	FMC_A1	
18	PF2	FMC_A2	
19	PF3	FMC_A3	
20	PF4	FMC_A4	
21	PF5	FMC_A5	
24	PF6*	SPI5_NSS	
25	PF7*	SPI5_SCK	
26	PF8*	SPI5_MISO	
27	PF9*	SPI5_MOSI	
28	PF10	LTDC_DE	
29	PH0/OSC_IN	RCC_OSC_IN	
30	PH1/OSC_OUT	RCC_OSC_OUT	
33	PC1	ETH_MDC	
34	PC2	ETH_TXD2	
35	PC3	ETH_TX_CLK	
40	PA0/WKUP	ADC1_IN0	ADC_INT
41	PA1	ETH_RX_CLK	
42	PA2	ETH_MDIO	
43	PH2	ETH_CRS	
44	PH3	ETH_COL	
45	PH4	GPIO_EXTI4	
47	PA3	LTDC_B5	
50	PA4	DAC_OUT1	
51	PA5	DAC_OUT2	DAC
52	PA6	LTDC_G2	
53	PA7	ETH_RX_DV	
54	PC4	ETH_RXD0	
55	PC5	ETH_RXD1	
56	PB0	LTDC_R3	
57	PB1	ETH_RXD3	
60	PF12	FMC_A6	
63	PF13	FMC_A7	
64	PF14	FMC_A8	
65	PF15	FMC_A9	
66	PG0	FMC_A10	
67	PG1	FMC_A11	
68	PE7	FMC_D4	
69	PE8	FMC_D5	
70	PE9	FMC_D6	
73	PE10	FMC_D7	
74	PE11	FMC_D8	
75	PE12	FMC_D9	
76	PE13	FMC_D10	
77	PE14	FMC_D11	
78	PE15	FMC_D12	
79	PB10	LTDC_G4	
80	PB11	ETH_TX_EN	
83	PH6	ETH_RXD2	
85	PH8	LTDC_R2	
87	PH10	LTDC_R4	
88	PH11	LTDC_R5	
89	PH12	LTDC_R6	
92	PB12	ETH_TXD0	
93	PB13	USB_OTG_HS_VBUS	
94	PB14	USB_OTG_HS_DM	
95	PB15	USB_OTG_HS_DP	
96	PD8	FMC_D13	
97	PD9	FMC_D14	
98	PD10	FMC_D15	
99	PD11	FMC_A16	
100	PD12	FMC_A17	
101	PD13	FMC_A18	
104	PD14	FMC_D0	
105	PD15	FMC_D1	
106	PG2	FMC_A12	
107	PG3	FMC_A13	
108	PG4	FMC_A14	
109	PG5	FMC_A15	
110	PG6	LTDC_R7	
111	PG7	LTDC_CLK	
115	PC6	LTDC_HSYNC	
116	PC7	LTDC_G6	
120	PA9	USB_OTG_FS_VBUS	
122	PA11	USB_OTG_FS_DM	
123	PA12	USB_OTG_FS_DP	
124	PA13*	SYS_JTMS-SWDIO	
129	PH14	LTDC_G3	
130	PH15	GPIO_Output	SPI2_CS2
131	PI0	LTDC_G5	
132	PI1*	SPI2_SCK	
133	PI2	GPIO_Output	SPI2_CS1
134	PI3*	SPI2_MOSI	
137	PA14*	SYS_JTCK-SWCLK	
139	PC10*	SPI3_SCK	
140	PC11*	SPI3_MISO	
141	PC12*	SPI3_MOSI	
142	PD0	FMC_D2	
143	PD1	FMC_D3	
145	PD3	LTDC_G7	
146	PD4	FMC_NOE	
147	PD5	FMC_NWE	
150	PD6	LTDC_B2	
151	PD7	FMC_NE1	
152	PG9	FMC_NE2	
153	PG10	GPIO_Output	U/D
154	PG11	LTDC_B3	
155	PG12	LTDC_B4	
156	PG13	GPIO_Output	R/L
157	PG14	ETH_TXD1	
161	PB3*	SYS_JTDO-SWO	
167	PB8	ETH_TXD3	
168	PB9	LTDC_B7	
175	PI6	LTDC_B6	
